taxon_id,taxon_name,taxon_iconic_taxon_name,taxon_rank,taxon_rank_level,taxon_ancestry,prev_obs_taxon_id,prev_obs_taxon_name,prev_obs_taxon_iconic_taxon_name,prev_obs_taxon_rank,prev_obs_taxon_rank_level,prev_obs_taxon_ancestry,obs_had_species_cid,more_conservative,disagreement,exact_agreement,more_specific_agreement
26575,Diadophis punctatus,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/26504/797518/26574,26591,Diadophis punctatus edwardsii,Reptilia,subspecies,5.0,48460/1/2/355675/26036/26172/85553/26504/797518/26574/26575,true,true,false,false,false
5108,Accipiter gentilis,Aves,species,10.0,48460/1/2/355675/3/71261/5067/5085,5085,Accipiter,Aves,genus,20.0,48460/1/2/355675/3/71261/5067,false,false,false,false,true
7004,Mergus merganser,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6995,7004,Mergus merganser,Aves,species,10.0,48460/1/2/355675/3/6888/6912/6995,true,false,false,true,false
39657,Cheloniidae,Reptilia,family,30.0,48460/1/2/355675/26036/39532/372234,39665,Caretta caretta,Reptilia,species,10.0,48460/1/2/355675/26036/39532/372234/39657/797541/39664,true,true,false,false,false
165988,Oxalis dichondrifolia,Plantae,species,10.0,48460/47126/211194/47125/47124/70233/47759/47758/879894,165988,Oxalis dichondrifolia,Plantae,species,10.0,48460/47126/211194/47125/47124/70233/47759/47758/879894,true,false,false,true,false
51778,Poanes,Insecta,genus,20.0,48460/1/47120/372739/47158/184884/47157/47224/47653/122493/320552,47653,Hesperiidae,Insecta,family,30.0,48460/1/47120/372739/47158/184884/47157/47224,false,false,false,false,true
30844,Bothriechis schlegelii,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30842,30844,Bothriechis schlegelii,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30842,true,false,false,true,false
30844,Bothriechis schlegelii,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30842,30844,Bothriechis schlegelii,Reptilia,species,10.0,48460/1/2/355675/26036/26172/85553/30667/797576/30842,true,false,false,true,false
43840,Zapus hudsonius,Mammalia,species,10.0,48460/1/2/355675/40151/848317/848320/848323/43698/870778/870779/846053/846272/43839,43838,Dipodidae,Mammalia,family,30.0,48460/1/2/355675/40151/848317/848320/848323/43698/870778/870779,false,false,true,false,false
5017,Bubulcus ibis,Aves,species,10.0,48460/1/2/355675/3/67566/4929/597395/5016,5017,Bubulcus ibis,Aves,species,10.0,48460/1/2/355675/3/67566/4929/597395/5016,true,false,false,true,false
